Year,Renter Occupied,Owner Occupied
1970,0.426796951,0.573203049
1980,0.435924472,0.564075528
1990,0.486818421,0.513181579
2000,0.498554156,0.501445844
2010,0.50596138,0.49403862
2015,0.52785588,0.47214412
